cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,acidic,caffiene,category,glass,price
11987,Queen Bee,3,"Coffee brandy, Lime vodka, Sherry",True,False,False,Ordinary Drink,Cocktail glass,12.71
178306,Slippery Nipple,2,"Sambuca, Irish cream",True,False,False,Shot,Shot glass,11.04
11542,Jack Rose Cocktail,3,"Apple brandy, Grenadine, Lime",True,True,False,Ordinary Drink,Cocktail glass,11.8
17245,Rosemary Blue,4,"Gin, Blue Curacao, Tonic Water, Rosemary",True,False,False,Cocktail,Balloon Glass,12.21
178357,Pornstar Martini,5,"Vodka, Passoa, Passion fruit juice, Lime, Prosecco",True,True,False,Cocktail,Cocktail glass,13.83
12474,Waikiki Beachcomber,3,"Triple sec, Gin, Pineapple juice",True,False,False,Ordinary Drink,Cocktail glass,12.49
16998,Bruised Heart,4,"Vodka, Chambord raspberry liqueur, Peachtree schnapps, Cranberry juice",True,False,False,Shot,Shot glass,12.4
13581,410 Gone,2,"Peach Vodka, Coca-Cola",True,False,False,Ordinary Drink,Collins Glass,10.19
13032,Spiced Peach Punch,6,"Peach nectar, Orange juice, Brown sugar, Cinnamon, Cloves, Lime juice",False,False,False,Punch / Party Drink,Collins Glass,11.27
178339,The Strange Weaver,7,"Light Rum, Gin, Sweet Vermouth, Campari, Lemon Juice, Orgeat Syrup, Orange Peel",True,False,False,Cocktail,Collins glass,17.96
13196,Long vodka,5,"Vodka, Lime, Angostura bitters, Tonic water, Ice",True,True,False,Ordinary Drink,Highball glass,12.91
178309,Espresso Rumtini,4,"Rum, Vanilla syrup, Espresso, Coffee",True,False,True,Cocktail,Cocktail glass,12.92
13026,Sangria The  Best,7,"Red wine, Sugar, Lemon, Orange, Apple, Brandy, Soda water",True,True,False,Punch / Party Drink,Pitcher,14.57
12452,Victory Collins,5,"Vodka, Lemon juice, Grape juice, Powdered sugar, Orange",True,True,False,Ordinary Drink,Collins glass,14.08
12138,Scotch Cobbler,5,"Scotch, Brandy, Curacao, Orange, Mint",True,True,False,Ordinary Drink,Old-fashioned glass,12.68
17201,Hemingway Special,4,"Rum, Grapefruit Juice, Maraschino Liqueur, Lime Juice",True,False,False,Ordinary Drink,Cocktail glass,13.43
12864,Apple Cider Punch,8,"Apple cider, Brown sugar, Lemonade, Orange juice, Cloves, Allspice, Nutmeg, Cinnamon",False,False,False,Punch / Party Drink,Collins Glass,12.71
178348,Winter Paloma,5,"Tequila, Grapefruit Juice, Lime Juice, Agave Syrup, Pepper",True,False,False,Cocktail,Highball glass,12.82
178342,Gin and Soda,3,"Gin, Soda Water, Lime",True,True,False,Cocktail,Highball glass,11.99
17027,Zima Blaster,2,"Zima, Chambord raspberry liqueur",True,False,False,Ordinary Drink,Hurricane glass,11.43
11634,Lady Love Fizz,6,"Gin, Light cream, Powdered sugar, Lemon, Egg white, Carbonated water",True,True,False,Ordinary Drink,Cocktail glass,13.65
178325,Aperol Spritz,3,"Aperol, Prosecco, Soda Water",True,False,False,Cocktail,Wine Glass,11.23
17065,Caribbean Boilermaker,2,"Corona, Light rum",True,False,False,Beer,Beer pilsner,11.09
11060,Balmoral,4,"Scotch, Sweet Vermouth, Dry Vermouth, Bitters",True,False,False,Ordinary Drink,Cocktail glass,12.58
