cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,instructions,image_url,price
178370,Mauresque,3,"Ricard, Orgeat Syrup, Water",True,0,False,False,Cocktail,Collins glass,"1 - Pour the Ricard (or pastis)
2 - Pour the orgeat syrup
3 - Finally pour the water and add ice cubes at your convenience.

Add the ice cubes at the end, otherwise the syrup and pastis do not mix well.",https://www.thecocktaildb.com/images/media/drink/duwfa11686236556.jpg,11.24
12420,Tuxedo Cocktail,6,"Dry Vermouth, Gin, Maraschino liqueur, Anis, Orange bitters, Cherry",True,1,False,False,Ordinary Drink,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,https://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,14.84
17187,Derby,3,"gin, Peach Bitters, Mint",True,0,False,False,Ordinary Drink,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,12.56
11121,Bobby Burns Cocktail,4,"Sweet Vermouth, Scotch, Benedictine, Lemon peel",True,1,False,False,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,15.32
16942,Zipperhead,3,"Chambord raspberry liqueur, Vodka, Soda water",True,3,False,False,Shot,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,12.09
14598,50/50,3,"Vanilla vodka, Grand Marnier, Orange juice",True,2,True,False,Ordinary Drink,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,13.94
178326,White Wine Sangria,7,"Lime, lemon, White Wine, Strawberries, Apple, Apple Brandy, Soda Water",True,1,True,False,Punch / Party Drink,Pitcher,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.",https://www.thecocktaildb.com/images/media/drink/hnuod91587851576.jpg,14.39
17167,Raspberry Cooler,3,"Raspberry vodka, Lemon-lime soda, Ice",True,0,False,False,Other / Unknown,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,12.46
11786,Mississippi Planters Punch,6,"Brandy, Light rum, Bourbon, Lemon, Powdered sugar, Carbonated water",True,2,True,False,Ordinary Drink,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,13.86
17060,24k nightmare,4,"Goldschlager, Jägermeister, Rumple Minze, 151 proof rum",True,1,False,False,Shot,Shot glass,"Add over ice,shake and pour.",https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,12.29
16262,H.D.,3,"Whisky, Baileys irish cream, Coffee",True,1,False,True,Coffee / Tea,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,12.41
13899,3 Wise Men,3,"Jack Daniels, Johnnie Walker, Jim Beam",True,0,False,False,Shot,Collins glass,put them them in a glass... and slam it to tha head.,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,11.51
14642,Grim Reaper,3,"Kahlua, 151 proof rum, Grenadine",True,2,False,False,Ordinary Drink,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,14.44
13423,Atlantic Sun,5,"Vodka, Southern Comfort, Passion fruit syrup, Sweet and sour, Club soda",True,1,False,False,Ordinary Drink,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange.",https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,12.87
11003,Negroni,3,"Gin, Campari, Sweet Vermouth",True,1,False,False,Ordinary Drink,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg,14.31
178309,Espresso Rumtini,4,"Rum, Vanilla syrup, Espresso, Coffee",True,1,False,True,Cocktail,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,11.94
17015,Irish Russian,4,"Vodka, Kahlua, Coca-Cola, Guinness stout",True,3,False,False,Beer,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,16.44
12714,Kiwi Papaya Smoothie,2,"Kiwi, Papaya",False,0,False,False,Other / Unknown,Highball Glass,Throw everything into a blender and liquify.,https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,8.45
11690,Mai Tai,5,"Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry",True,0,False,False,Ordinary Drink,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,13.8
14860,Talos Coffee,2,"Grand Marnier, Coffee",True,1,False,True,Coffee / Tea,Brandy snifter,Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,13.12
11000,Mojito,5,"Light rum, Lime, Sugar, Mint, Soda water",True,2,True,False,Cocktail,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,13.14
