cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,price
11121,Bobby Burns Cocktail,4,"Sweet Vermouth, Scotch, Benedictine, Lemon peel",True,1,False,False,Ordinary Drink,Cocktail glass,16.37
178341,Orange Rosemary Collins,7,"Gin, Orange Juice, Lemon Juice, Rosemary Syrup, Soda Water, Rosemary, Orange Peel",True,2,False,False,Cocktail,Highball glass,14.75
11084,Bermuda Highball,5,"Brandy, Gin, Dry Vermouth, Carbonated water, Lemon peel",True,2,False,False,Ordinary Drink,Highball glass,12.66
11129,Boston Sour,6,"Blended whiskey, Lemon, Powdered sugar, Egg white, Lemon, Cherry",True,1,True,False,Ordinary Drink,Whiskey sour glass,14.9
14366,Lemon Drop,3,"Vodka, Cointreau, Lemon",True,1,True,False,Cocktail,Cocktail glass,14.58
17186,Clover Club,4,"Gin, Grenadine, Lemon, Egg white",True,1,True,False,Ordinary Drink,Cocktail glass,13.31
16082,Almond Chocolate Coffee,3,"Amaretto, Dark Creme de Cacao, Coffee",True,1,False,True,Ordinary Drink,Coffee mug,13.29
15951,Black Forest Shake,5,"Ice, Chocolate syrup, Cherry brandy, Vodka, Milk",True,1,False,False,Shake,Collins Glass,14.25
13068,Brave Bull Shooter,2,"Tequila, Tabasco sauce",True,0,False,False,Shot,Shot glass,11.64
16998,Bruised Heart,4,"Vodka, Chambord raspberry liqueur, Peachtree schnapps, Cranberry juice",True,3,False,False,Shot,Shot glass,12.82
178350,The Galah,5,"Dark Rum, Campari, Creme De Banane, Pineapple Juice, Lime Juice",True,0,False,False,Cocktail,Collins glass,16.17
11003,Negroni,3,"Gin, Campari, Sweet Vermouth",True,1,False,False,Ordinary Drink,Old-fashioned glass,13.28
11991,Queen Elizabeth,3,"Dry Vermouth, Gin, Benedictine",True,1,False,False,Ordinary Drink,Cocktail glass,14.44
13675,Flander's Flake-Out,2,"Sambuca, Sarsaparilla",True,0,False,False,Ordinary Drink,Collins Glass,10.41
11690,Mai Tai,5,"Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry",True,0,False,False,Ordinary Drink,Collins glass,13.5
15178,Texas Rattlesnake,4,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour",True,0,False,False,Shot,Highball glass,11.7
12162,Screwdriver,2,"Vodka, Orange juice",True,2,False,False,Ordinary Drink,Highball glass,11.35
17825,Brigadier,3,"Hot Chocolate, Green Chartreuse, Cherry Heering",True,0,False,False,Cocktail,Coupe Glass,13.49
14229,747,3,"Kahlua, Baileys irish cream, Frangelico",True,2,False,False,Shot,Shot glass,17.44
14053,Mother's Milk,3,"Goldschlager, Butterscotch schnapps, Milk",True,1,False,False,Shot,Shot glass,12.15
178363,Vodka Lemon,4,"Vodka, Lemon Juice, Lemon Peel, Ice",True,1,False,False,Cocktail,Highball glass,13.35
13128,Diesel,3,"Lager, Cider, Blackcurrant cordial",True,0,False,False,Beer,Pint glass,11.71
